company,cohort,title,method,notes,candidates
CoreWeave,tier_b,CoreWeave,exact title match,,
Circle Internet,tier_b,Circle (company),curated override,brand is ambiguous or differs from the article title,
Chime,tier_b,Chime (company),curated override,brand is ambiguous or differs from the article title,
Figma,tier_b,Figma,exact title match,,
Firefly Aerospace,tier_b,Firefly Aerospace,exact title match,,
Bullish,tier_b,Bullish,curated override,brand is ambiguous or differs from the article title,
Klarna,tier_b,Klarna,curated override,brand is ambiguous or differs from the article title,
StubHub,tier_b,StubHub,curated override,brand is ambiguous or differs from the article title,
Fervo Energy,tier_b,Fervo Energy,exact title match,,
Cerebras Systems,tier_b,Cerebras Systems,exact title match,,
SpaceX,tier_b,SpaceX,exact title match,,
Jersey Mike's Subs,tier_b,Jersey Mike's,curated override,brand is ambiguous or differs from the article title,
Lyft,tier_b,Lyft,exact title match,,
Pinterest,tier_b,Pinterest,exact title match,,
Zoom,tier_b,Zoom Communications,curated override,brand is ambiguous or differs from the article title,
Uber,tier_b,Uber,curated override,brand is ambiguous or differs from the article title,
Peloton,tier_b,Peloton Interactive,curated override,brand is ambiguous or differs from the article title,
Snowflake,tier_b,Snowflake Inc.,curated override,brand is ambiguous or differs from the article title,
Unity,tier_b,Unity Technologies,curated override,brand is ambiguous or differs from the article title,
Palantir,tier_b,Palantir,curated override,brand is ambiguous or differs from the article title,
DoorDash,tier_b,DoorDash,exact title match,,
Airbnb,tier_b,Airbnb,exact title match,,
Bumble,tier_b,Bumble (app),curated override,brand is ambiguous or differs from the article title,
Roblox,tier_b,Roblox,exact title match,,
Coupang,tier_b,Coupang,exact title match,,
Coinbase,tier_b,Coinbase,exact title match,,
Duolingo,tier_b,Duolingo,exact title match,,
Robinhood,tier_b,Robinhood Markets,curated override,brand is ambiguous or differs from the article title,
Rivian,tier_b,Rivian,exact title match,,
Nu Holdings (Nubank),tier_b,Nubank,curated override,brand is ambiguous or differs from the article title,
Mobileye,tier_b,Mobileye,exact title match,,
Arm Holdings,tier_b,Arm Holdings,curated override,brand is ambiguous or differs from the article title,
Instacart (Maplebear),tier_b,Instacart,curated override,brand is ambiguous or differs from the article title,
Klaviyo,tier_b,Klaviyo,exact title match,,
Birkenstock,tier_b,Birkenstock,exact title match,,
Astera Labs,tier_b,Astera Labs,exact title match,,
Reddit,tier_b,Reddit,curated override,brand is ambiguous or differs from the article title,
Rubrik,tier_b,Rubrik,exact title match,,
Tempus AI,tier_b,Tempus AI,exact title match,,
Slack,tier_b,Slack Technologies,curated override,brand is ambiguous or differs from the article title,
DraftKings,tier_b,DraftKings,exact title match,,
Porsche AG,tier_b,Porsche,exact title match,,
Medline,tier_b,Medline Inc.,curated override,brand is ambiguous or differs from the article title,
Unitree Robotics,tier_b,Unitree Robotics,exact title match,,
